gvkey,fyear,total_sales,domestic_sales,domestic_sales_share
001087,1981.0,0.112,0.112,1.0
001087,1982.0,0.099,0.099,1.0
001135,1977.0,39.653,39.653,1.0
001135,1978.0,69.952,69.952,1.0
001135,1979.0,92.396,92.396,1.0
001135,1980.0,154.382,154.382,1.0
001135,1981.0,184.482,184.482,1.0
001135,1982.0,203.259,203.259,1.0
001135,1983.0,165.541,165.541,1.0
001135,1984.0,166.964,166.964,1.0
001226,1981.0,14.051,14.051,1.0
001226,1982.0,25.049,25.049,1.0
001226,1983.0,28.9,28.9,1.0
001226,1984.0,30.352,30.352,1.0
001226,1985.0,22.996,22.996,1.0
001226,1986.0,14.237,14.237,1.0
001226,1987.0,10.184,10.184,1.0
001226,1988.0,11.277,11.277,1.0
001226,1989.0,12.712,12.712,1.0
001226,1990.0,9.183,9.183,1.0
001226,1991.0,9.653,9.653,1.0
001226,1992.0,11.35,11.35,1.0
001226,1993.0,11.9,11.9,1.0
001226,1994.0,13.671,13.671,1.0
001226,1995.0,14.375,14.375,1.0
001226,1996.0,23.032,23.032,1.0
001241,1984.0,0.72,0.72,1.0
001241,1985.0,0.722,0.722,1.0
001241,1986.0,0.428,0.428,1.0
001241,1987.0,0.327,0.327,1.0
001241,1988.0,0.337,0.337,1.0
001255,1980.0,0.223,0.223,1.0
001255,1981.0,0.645,0.645,1.0
001255,1982.0,2.662,2.662,1.0
001255,1983.0,3.565,3.565,1.0
001255,1984.0,8.479,8.479,1.0
001255,1985.0,7.559,7.559,1.0
001255,1986.0,4.183,4.183,1.0
001255,1987.0,3.703,3.703,1.0
001255,1988.0,2.824,2.824,1.0
001255,1989.0,5.224,5.224,1.0
001255,1990.0,7.269,7.269,1.0
001255,1991.0,6.993,6.993,1.0
001255,1992.0,10.436,10.436,1.0
001255,1993.0,12.957,12.957,1.0
001255,1994.0,20.683,20.683,1.0
001255,1995.0,19.612,19.612,1.0
001258,1981.0,0.041,0.041,1.0
001258,1982.0,0.126,0.126,1.0
001258,1983.0,0.266,0.266,1.0
001258,1984.0,0.214,0.214,1.0
001258,1985.0,0.201,0.201,1.0
001258,1986.0,0.1,0.1,1.0
001258,1987.0,0.075,0.075,1.0
001258,1988.0,0.03,0.03,1.0
001258,1989.0,0.062,0.062,1.0
001258,1990.0,0.353,0.353,1.0
001258,1991.0,1.028,1.028,1.0
001258,1992.0,1.282,1.282,1.0
001258,1993.0,0.705,0.705,1.0
001258,1994.0,0.352,0.352,1.0
001258,1995.0,0.143,0.143,1.0
001258,1996.0,0.046,0.046,1.0
001258,1997.0,0.024,0.024,1.0
001258,1998.0,0.82,0.82,1.0
001258,2000.0,1.386,1.369,0.9877344877344878
001258,2001.0,1.592,1.572,0.9874371859296482
001258,2002.0,1.345,1.341,0.9970260223048327
001258,2003.0,3.1479999999999997,3.135,0.9958703939008895
001258,2004.0,5.255,5.255,1.0
001258,2005.0,3.572,3.572,1.0
001275,1982.0,9.314,9.314,1.0
001275,1983.0,11.355,11.355,1.0
001275,1984.0,0.0,0.0,
001275,1985.0,268.504,268.504,1.0
001333,1979.0,0.114,0.114,1.0
001333,1980.0,0.168,0.168,1.0
001333,1981.0,0.528,0.528,1.0
001333,1982.0,0.98,0.98,1.0
001333,1983.0,0.06,0.06,1.0
001338,1982.0,1.052,1.052,1.0
001338,1983.0,1.431,1.431,1.0
001338,1984.0,2.215,2.215,1.0
001338,1985.0,2.341,2.341,1.0
001338,1986.0,1.388,1.388,1.0
001338,1987.0,1.209,1.209,1.0
001338,1988.0,1.253,1.253,1.0
001338,1989.0,1.119,1.119,1.0
001364,1977.0,10.543,10.543,1.0
001364,1978.0,12.845,12.845,1.0
001364,1979.0,16.719,16.719,1.0
001364,1980.0,26.492,26.492,1.0
001364,1981.0,52.905,52.905,1.0
001364,1982.0,23.599,23.599,1.0
001364,1983.0,12.945,12.945,1.0
001364,1984.0,19.317,19.317,1.0
001368,1979.0,0.648,0.648,1.0
001368,1980.0,0.871,0.871,1.0
001368,1981.0,1.493,1.493,1.0
001368,1982.0,0.478,0.478,1.0
001368,1983.0,0.921,0.921,1.0
001368,1984.0,0.829,0.829,1.0
001380,1976.0,704.627,0.0,0.0
001380,1977.0,4591.253,3934.528,0.8569617052251314
001380,1978.0,4701.122,3981.031,0.8468257152228765
001380,1979.0,6769.898,5636.598,0.832597182409543
001380,1980.0,7397.098999999999,7256.699,0.9810195861918302
001380,1981.0,8974.9,8861.5,0.9873647617243646
001380,1982.0,7953.999,7365.199,0.9259743432203097
001380,1983.0,7999.0,7386.0,0.9233654206775846
001380,1984.0,7762.0,7066.0,0.9103323885596496
001380,1985.0,7058.0,6525.0,0.9244828563332389
001380,1986.0,3685.0,3495.0,0.9484396200814111
001380,1987.0,4339.0,4201.0,0.9681954367365753
001380,1988.0,3816.0,3695.0,0.9682914046121593
001380,1989.0,5136.0,5012.0,0.9758566978193146
001380,1990.0,6220.0,6071.0,0.9760450160771704
