fyear,domestic_sales,foreign_sales,total_sales,domestic_sales_share,foreign_sales_share
1977,47407.203,2782.734,50189.937,0.9445559375776862,0.05544406242231386
1978,50843.947,3262.197,54106.144,0.9397074572529138,0.060292542747086175
1979,69826.652,3903.756,73730.408,0.9470536498319663,0.05294635016803379
1980,91954.40299999999,3331.32,95285.723,0.9650386238870223,0.0349613761129776
1981,108638.519,3701.651,112340.17,0.9670496225882514,0.03295037741174862
1982,98119.011,3905.364,102024.375,0.9617212651388455,0.038278734861154504
1983,91212.024,4085.715,95297.739,0.9571268422223533,0.04287315777764675
1984,88638.37,4028.174,92666.544,0.9565304388604371,0.04346956113956295
1985,86945.014,3773.442,90718.45599999999,0.9584049137696965,0.04159508623030357
1986,70070.513,2078.2599999999998,72148.773,0.9711947977271908,0.028805202272809267
1987,80557.912,2568.063,83125.97499999999,0.9691063713839146,0.03089362861608541
1988,92715.053,2267.312,94982.365,0.9761291267068365,0.023870873293163418
1989,102191.892,2526.25,104718.142,0.9758757178865912,0.024124282113408772
1990,112382.687,3412.1330000000003,115794.82,0.970532939210925,0.02946706078907502
1991,95035.116,3301.64,98336.756,0.9664251686317576,0.03357483136824241
1992,87820.078,3229.9080000000004,91049.98599999999,0.9645259912505644,0.03547400874943573
1993,90976.849,3059.7740000000003,94036.623,0.967461889821373,0.03253811017862689
1994,121261.22700000001,5965.517,127226.744,0.9531111399031009,0.04688886009689912
1995,128363.281,8319.252,136682.533,0.9391344905789828,0.06086550942101725
1996,150451.41,4479.776,154931.18600000002,0.9710853823838926,0.028914617616107318
1997,171653.848,9591.975,181245.823,0.9470775389952021,0.05292246100479789
1998,141241.92799999999,10135.349,151377.27699999997,0.9330457701389357,0.0669542298610643
1999,128971.025,5629.263,134600.288,0.9581779275241966,0.04182207247580332
2000,160115.05,6098.746,166213.796,0.9633078231364139,0.03669217686358598
2001,2369244.984,7576.22,2376821.2040000004,0.9968124569120933,0.0031875430879065815
2002,164460.431,11569.216,176029.647,0.9342768891651531,0.06572311083484704
2003,232116.075,19884.496,252000.571,0.9210934486334954,0.07890655136650464
2004,274125.846,7917.303,282043.14900000003,0.9719287526462839,0.028071247353716074
2005,350149.491,9136.999000000002,359286.49,0.9745690437733965,0.02543095622660346
2006,394950.342,14386.916,409337.25800000003,0.9648531480611031,0.03514685193889679
2007,432122.825,12869.107,444991.93200000003,0.9710801341000492,0.028919865899950742
2008,525543.598,16552.119,542095.717,0.9694664272730272,0.030533572726972866
2009,299166.477,12752.934,311919.411,0.9591146509314228,0.0408853490685772
2010,297376.147,10756.512,308132.659,0.9650912953047278,0.03490870469527218
2011,302206.871,15946.860999999999,318153.73199999996,0.949876869588316,0.050123130411684126
2012,233060.38199999998,4457.486,237517.868,0.9812330498015417,0.018766950198458334
2013,272617.899,6280.098,278897.997,0.9774824557094256,0.02251754429057445
2014,307684.75,4754.88,312439.63,0.9847814440184812,0.015218555981518734
2015,189227.783,3024.911,192252.694,0.9842659630038787,0.015734036996121366
2016,176496.585,8054.467,184551.052,0.956356428680775,0.04364357131922499
2017,201545.126,3896.325,205441.451,0.9810343775268604,0.01896562247313956
2018,243826.794,5360.764,249187.558,0.9784870318445033,0.021512968155496755
2019,210318.274,2863.365,213181.639,0.9865684258108176,0.013431574189182399
2020,139046.34,734.274,139780.614,0.9947469539660199,0.0052530460339800765
2021,260923.899,6273.011,267196.91000000003,0.9765228909271443,0.02347710907285567
2022,361177.62,8684.337,369861.957,0.9765200588066969,0.0234799411933031
2023,280806.94,7111.649,287918.589,0.9752997921228352,0.02470020787716489
2024,249670.954,4744.823,254415.777,0.9813501227952541,0.018649877204745837
