segment,is_non_e_and_p,category,confidence,rationale
OIL & GAS,False,Unknown,0.9,The name is generic and could include upstream E&P activities; no clear non-E&P indication.
OIL & GAS PRODUCTION,False,Unknown,1.0,Production is a core upstream E&P activity.
REFINING & GAS PROCESSING,True,Downstream,1.0,"Refining and gas processing are downstream and midstream activities, not upstream E&P."
COAL MINING,True,Mining/Other,1.0,"Coal mining is a non-oil-and-gas mining activity, clearly non-E&P."
OIL & GAS ONSHORE,False,Unknown,0.95,Onshore oil & gas typically refers to upstream E&P activities.
PIPELINES,True,Midstream,1.0,"Pipelines are midstream transportation infrastructure, not upstream E&P."
FOREST PRODUCTS,True,Mining/Other,1.0,"Forest products are unrelated to oil & gas E&P, clearly non-E&P."
OTHER,False,Unknown,0.5,Vague segment name; cannot determine if non-E&P.
PETROCHEMICALS,True,Chemicals,1.0,"Petrochemicals are downstream chemical activities, not upstream E&P."
TRANSPORTATN-STORAGE-PROCESS,True,Midstream,1.0,"Transportation, storage, and processing are midstream activities, not upstream E&P."
OFFSHORE EXPLOR -PRODUCTION,False,Unknown,1.0,Exploration and production offshore are core upstream E&P activities.
WESTRN CANADIAN CONVENTIONAL,False,Unknown,0.9,Geographic label likely referring to upstream conventional oil & gas activities.
SYNCRUDE OIL-GAS EXPLORATION,False,Unknown,0.95,Exploration is an upstream E&P activity despite inclusion of 'Syncrude Oil-Gas'.
INTERNATIONAL OIL-GAS EXPLOR,False,Unknown,1.0,Exploration is upstream E&P activity.
PIPELINES & GAS PROCESSING,True,Midstream,1.0,"Pipelines and gas processing are midstream activities, not upstream E&P."
GAS STORAGE & HUB SERVICES,True,Midstream,1.0,"Gas storage and hub services are midstream activities, not upstream E&P."
North America Upstream,False,Unknown,1.0,Upstream clearly indicates E&P activities.
International Upstream,False,Unknown,1.0,Upstream clearly indicates E&P activities.
Pipelines & Gas Processing,True,Midstream,1.0,"Pipelines and gas processing are midstream activities, not upstream E&P."
Gas Storage & Hub Services,True,Midstream,1.0,"Gas storage and hub services are midstream activities, not upstream E&P."
Upstream conventional,False,Unknown,1.0,Upstream conventional refers to E&P activities.
Domestic upstream,False,Unknown,1.0,Upstream indicates E&P activities.
International upstream,False,Unknown,1.0,Upstream indicates E&P activities.
Pipelines & gas processing,True,Midstream,1.0,"Pipelines and gas processing are midstream activities, not upstream E&P."
Gas storage & Hub Services,True,Midstream,1.0,"Gas storage and hub services are midstream activities, not upstream E&P."
ON & OFFSHORE OIL & GAS,False,Unknown,0.95,On & offshore oil & gas generally refers to upstream E&P activities.
OIL & GAS-ONSHORE,False,Unknown,0.95,Onshore oil & gas typically refers to upstream E&P activities.
"Oil & Gas Exploration,Development & Production - Onshore",False,Unknown,1.0,"Exploration, development, and production are core upstream E&P activities."
Oil & Gas Production,False,Unknown,1.0,Production is a core upstream E&P activity.
Convernience Store Operation,True,Downstream,1.0,"Convenience store operations are downstream retail activities, not upstream E&P."
Refined Product Distribution,True,Downstream,1.0,"Distribution of refined products is a downstream activity, not upstream E&P."
Corporate and Other,True,Corporate/Other,1.0,"Corporate and other is a non-operating segment, clearly non-E&P."
Oil & Gas Explorationg and Prodcution,False,Unknown,1.0,Exploration and production are core upstream E&P activities.
GAS DISTRIBUTION,True,Utilities/Power,1.0,"Gas distribution is a downstream/utility activity, not upstream E&P."
CRUDE OIL,False,Unknown,0.7,Crude oil as a segment name is ambiguous but likely upstream related; default false.
NATURAL GAS,False,Unknown,0.7,Natural gas as a segment name is ambiguous but likely upstream related; default false.
PETROLEUM PRODUCTS,True,Downstream,1.0,"Petroleum products are downstream refined products, not upstream E&P."
EXPLORATION & REFINING,False,Unknown,1.0,"Mixes exploration (upstream) and refining (downstream), ambiguous; default false."
EXPLORATION & PRODUCTION,False,Unknown,1.0,Exploration and production are core upstream E&P activities.
REFINING & MARKETING,True,Downstream,1.0,"Refining and marketing are downstream activities, not upstream E&P."
CORPORATE & OTHER,True,Corporate/Other,1.0,"Corporate and other is a non-operating segment, clearly non-E&P."
Exploration & Production,False,Unknown,1.0,Exploration and production are core upstream E&P activities.
"Refining, Marketing & Shipping",True,Downstream,1.0,"Refining, marketing, and shipping are downstream activities, not upstream E&P."
Corporate & Other,True,Corporate/Other,1.0,"Corporate and other is a non-operating segment, clearly non-E&P."
Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not upstream E&P."
Corporate & Interest,True,Corporate/Other,1.0,"Corporate and interest is a non-operating segment, clearly non-E&P."
Marketing & Refining,True,Downstream,1.0,"Marketing and refining are downstream activities, not upstream E&P."
Eliminations,True,Corporate/Other,1.0,"Eliminations are accounting adjustments, non-operating, clearly non-E&P."
Corporate,True,Corporate/Other,1.0,"Corporate is a non-operating segment, clearly non-E&P."
Retail Marketing & Other,True,Downstream,1.0,"Retail marketing is a downstream activity, not upstream E&P."
"Corporate, Interest & Other",True,Corporate/Other,1.0,"Corporate, interest, and other is a non-operating segment, clearly non-E&P."
Bakken Midstream,True,Midstream,1.0,Midstream activities are non-E&P; Bakken is a basin name but combined with midstream indicates non-E&P.
Midstream,True,Midstream,1.0,Midstream is clearly non-E&P.
WIND TURBINES,True,Renewables,1.0,"Wind turbines are renewable energy, not upstream E&P."
OIL & GAS ON & OFFSHORE,False,Unknown,0.95,On & offshore oil & gas generally refers to upstream E&P activities.
MINERALS,True,Mining/Other,1.0,"Minerals mining is non-oil-and-gas mining, clearly non-E&P."
OIL & GAS - ON & OFFSHORE,False,Unknown,0.95,On & offshore oil & gas generally refers to upstream E&P activities.
NATURAL GAS PIPELINE,True,Midstream,1.0,"Natural gas pipeline is a midstream activity, not upstream E&P."
OIL & GAS OPERATIONS,False,Unknown,0.8,Operations is vague but combined with oil & gas likely includes upstream E&P.
MANAGEMENT FEES,True,Corporate/Other,1.0,"Management fees are corporate overhead, non-operating, clearly non-E&P."
REAL ESTATE,True,Real Estate,1.0,Real estate is unrelated to upstream E&P.
CONTRACT DRILLING,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, supplier side, not upstream E&P."
OIL ROYALTY,False,Unknown,0.6,"Oil royalty is a financial interest, not an operating segment; ambiguous but default false."
RETAIL OIL-GAS FIELD SUPPLY,True,Downstream,1.0,"Retail supply is downstream activity, not upstream E&P."
PRODUCTION-EXTRACTION-RELATD,False,Unknown,1.0,Production and extraction are core upstream E&P activities.
LIQUIDS-MARKETING,True,Trading/Marketing,1.0,"Marketing of liquids is a downstream/trading activity, not upstream E&P."
AGRICULTURE,True,Mining/Other,1.0,Agriculture is unrelated to upstream E&P.
PRECISION ENGINEERED PRODS,True,Mining/Other,1.0,Precision engineered products are unrelated to upstream E&P.
MATERIALS HANDLING EQUIPMENT,True,Mining/Other,1.0,Materials handling equipment is unrelated to upstream E&P.
AIR CONDITIONING SYSTEMS,True,Mining/Other,1.0,Air conditioning systems are unrelated to upstream E&P.
PLASTIC PRODUCTS,True,Chemicals,1.0,"Plastic products are downstream chemical products, not upstream E&P."
RETAIL,True,Downstream,1.0,"Retail is a downstream activity, not upstream E&P."
ENGINEERED PRODUCTS-SERVICES,True,Mining/Other,1.0,Engineered products and services are unrelated to upstream E&P.
PLASTIC  PRODUCTS,True,Chemicals,1.0,"Plastic products are downstream chemical products, not upstream E&P."
Oil & Gas Onshore and Offshore,False,Unknown,0.95,Onshore and offshore oil & gas generally refers to upstream E&P activities.
Oil & Gas Onshore & Offshore,False,Unknown,0.95,Onshore and offshore oil & gas generally refers to upstream E&P activities.
Upstream - Egypt,False,Unknown,1.0,Upstream clearly indicates E&P activities.
Upstream - North Sea,False,Unknown,1.0,Upstream clearly indicates E&P activities.
Upstream - U.S.,False,Unknown,1.0,Upstream clearly indicates E&P activities.
Altus Midstream,True,Midstream,1.0,Midstream in the name clearly indicates non-E&P midstream activities.
Upstream - Canada,False,Unknown,1.0,Contains 'Upstream' which clearly denotes E&P activity.
Intersegment Eliminations,True,Corporate/Other,1.0,"Eliminations are non-operating accounting adjustments, not E&P."
Eliminations & Other,True,Corporate/Other,0.9,Eliminations and 'Other' typically represent non-operating or corporate adjustments.
RESORT,True,Mining/Other,1.0,Resort is unrelated to E&P and indicates hospitality or real estate.
Oil and Gas Exploration,False,Unknown,1.0,Explicitly states 'Exploration' which is upstream E&P activity.
Oil and gas exploration,False,Unknown,1.0,"Same as above, exploration is upstream E&P."
COAL,True,Mining/Other,1.0,Coal mining is a non-oil and gas mining activity.
OFFICE BUILDING,True,Real Estate,1.0,"Office building is real estate, not E&P."
OIL GAS & SULPHUR,False,Unknown,0.7,Contains E&P related terms without clear non-E&P indication; ambiguous but defaults to false.
EQUIPMENT LEASING & SALES,True,Oilfield Services,0.9,"Leasing and sales of equipment is a service activity, not E&P."
INDUSTRIAL,True,Mining/Other,0.7,Vague but 'Industrial' generally denotes manufacturing or non-E&P activities.
OIL-GAS EXPLORATION & PRODTN,False,Unknown,1.0,"Explicitly exploration and production, clearly E&P."
MINING,True,Mining/Other,1.0,Mining is non-E&P activity.
INDUSTRIAL PRODUCTS,True,Mining/Other,0.9,"Industrial products are manufacturing related, not E&P."
PETRO-NATURAL GAS ON-OFF SHR,False,Unknown,0.7,Contains upstream cues (onshore/offshore) and natural gas; ambiguous but defaults to false.
GOLD REFINING,True,Mining/Other,1.0,"Gold refining is mining related, not oil & gas E&P."
MINERAL EXPLOR & DEVELOPMENT,True,Mining/Other,1.0,"Mineral exploration and development refers to mining, not oil & gas E&P."
Oil and Gas,False,Unknown,0.8,"Generic oil and gas label, ambiguous but defaults to false."
Mining,True,Mining/Other,1.0,Mining is non-E&P activity.
Power Plant,True,Utilities/Power,1.0,"Power plant is electricity generation, non-E&P."
POWER PLANT,True,Utilities/Power,1.0,"Same as above, power generation is non-E&P."
REAL ESTATE INVESTMENT TRUST,True,Real Estate,1.0,Real estate investment trust is non-E&P.
OIL & GAS - ONSHORE,False,Unknown,1.0,Onshore oil & gas indicates upstream E&P activity.
COPPER,True,Mining/Other,1.0,Copper mining is non-E&P activity.
WELL SERVICES,True,Oilfield Services,1.0,"Well services are oilfield services, not E&P operations."
CORPORATE AND OTHER,True,Corporate/Other,1.0,Corporate and other is non-operating segment.
GAS PROCESSING,True,Midstream,1.0,"Gas processing is a midstream activity, not E&P."
LAND DEVELOPMENT,True,Real Estate,1.0,"Land development is real estate related, not E&P."
LAND INVESTMENT,True,Real Estate,1.0,"Land investment is real estate, not E&P."
FOOD PRODUCTS,True,Mining/Other,1.0,Food products are unrelated to E&P.
