gvkey,fyear,enp_share
001087,1981.0,1.0
001087,1982.0,1.0
001226,1981.0,1.0
001226,1982.0,1.0
001226,1983.0,1.0
001226,1984.0,1.0
001226,1985.0,1.0
001226,1986.0,1.0
001226,1987.0,1.0
001226,1988.0,1.0
001226,1989.0,1.0
001226,1990.0,1.0
001226,1991.0,1.0
001226,1992.0,1.0
001226,1993.0,1.0
001226,1994.0,1.0
001226,1995.0,1.0
001226,1996.0,1.0
001238,1996.0,0.8358131456032996
001241,1984.0,1.0
001241,1985.0,1.0
001241,1986.0,1.0
001241,1987.0,1.0
001241,1988.0,1.0
001255,1980.0,1.0
001255,1981.0,1.0
001255,1982.0,1.0
001255,1983.0,1.0
001255,1984.0,1.0
001255,1985.0,1.0
001255,1986.0,1.0
001255,1987.0,1.0
001255,1988.0,1.0
001255,1989.0,1.0
001255,1990.0,1.0
001255,1991.0,1.0
001255,1992.0,1.0
001255,1993.0,1.0
001255,1994.0,1.0
001255,1995.0,1.0
001258,1981.0,1.0
001258,1982.0,1.0
001258,1983.0,1.0
001258,1984.0,1.0
001258,1985.0,1.0
001258,1986.0,1.0
001258,1987.0,1.0
001258,1988.0,1.0
001258,1989.0,1.0
001258,1990.0,1.0
001258,1991.0,1.0
001258,1992.0,1.0
001258,1993.0,1.0
001258,1994.0,1.0
001258,1995.0,1.0
001258,1996.0,1.0
001258,1997.0,1.0
001258,1998.0,1.0
001258,1999.0,1.0
001258,2000.0,1.0
001258,2002.0,1.0
001258,2003.0,1.0
001258,2004.0,1.0
001258,2005.0,1.0
001275,1982.0,1.0
001275,1983.0,1.0
001333,1979.0,1.0
001333,1980.0,1.0
001333,1981.0,1.0
001333,1982.0,1.0
001333,1983.0,1.0
001338,1982.0,1.0
001338,1983.0,1.0
001338,1984.0,1.0
001338,1985.0,1.0
001338,1986.0,1.0
001338,1987.0,1.0
001338,1988.0,1.0
001338,1989.0,1.0
001364,1977.0,1.0
001364,1978.0,1.0
001364,1979.0,1.0
001364,1980.0,1.0
001364,1981.0,1.0
001364,1982.0,1.0
001364,1983.0,1.0
001364,1984.0,1.0
001368,1979.0,1.0
001368,1980.0,1.0
001368,1981.0,1.0
001368,1982.0,1.0
001368,1983.0,1.0
001368,1984.0,1.0
001380,1977.0,1.0
