fyear,domestic_sales,foreign_sales,total_sales,domestic_sales_share,foreign_sales_share
1977,47793.103,3276.569,51069.672000000006,0.9358411974919282,0.06415880250807171
1978,51433.389,3998.934,55432.323000000004,0.9278591662124641,0.07214083378753584
1979,70561.065,4218.894,74779.959,0.9435825579952511,0.056417442004748894
1980,93636.546,4173.264,97809.81,0.9573328687582565,0.042667131241743546
1981,109231.294,4046.632,113277.92599999999,0.9642769589549159,0.03572304104508411
1982,100723.285,5481.3679999999995,106204.653,0.9483886266263682,0.051611373373631746
1983,93622.554,5461.925,99084.479,0.9448760789265491,0.05512392107345087
1984,90662.467,5053.486,95715.95300000001,0.9472033047615375,0.05279669523846249
1985,88662.44,4995.457,93657.897,0.9466627250876667,0.053337274912333345
1986,71142.768,2767.9049999999997,73910.673,0.9625506724854204,0.03744932751457966
1987,81736.417,3318.82,85055.23700000001,0.9609804155856975,0.039019584414302436
1988,93875.098,3050.546,96925.644,0.968526946284721,0.0314730537152789
1989,103577.482,3407.877,106985.359,0.9681463236478929,0.03185367635210721
1990,114714.145,4771.92,119486.065,0.9600629579691992,0.03993704203080083
1991,96329.492,4122.709,100452.201,0.9589585000730845,0.041041499926915484
1992,89486.428,4221.158,93707.586,0.9549539351061717,0.04504606489382835
1993,91497.03,3786.154,95283.184,0.9602641952015374,0.03973580479846266
1994,130919.781,10834.182,141753.963,0.9235705177427739,0.07642948225722622
1995,142312.045,13901.807,156213.852,0.911007847114608,0.088992152885392
1996,173522.59900000002,14002.049,187524.64800000002,0.9253322208609078,0.07466777913909216
1997,178443.777,14812.774,193256.551,0.9233517626007928,0.07664823739920723
1998,143763.975,11870.96,155634.935,0.9237256082639801,0.07627439173601994
1999,130670.488,6523.44,137193.92799999999,0.9524509568674207,0.047549043132579454
2000,162914.454,7439.2080000000005,170353.662,0.9563308008019222,0.043669199198077706
2001,2370311.7770000002,9017.803,2379329.58,0.9962099395242252,0.003790060475774861
2002,166937.351,14041.513,180978.864,0.922413520067183,0.0775864799328169
2003,238860.024,25743.852000000003,264603.876,0.9027079557972916,0.09729204420270852
2004,277355.111,12821.51,290176.621,0.9558148070102449,0.044185192989755026
2005,355178.536,13381.404,368559.94,0.9636927333990776,0.0363072666009225
2006,400637.505,16759.702,417397.207,0.9598471151245629,0.04015288487543713
2007,436507.31200000003,14611.493,451118.80500000005,0.9676105433024456,0.03238945669755443
2008,529591.361,18956.362,548547.723,0.9654426384338488,0.03455736156615129
2009,309631.58,17258.827999999998,326890.408,0.9472030149015569,0.05279698509844314
2010,312084.976,20535.299000000003,332620.275,0.9382620346880538,0.06173796531194618
2011,313139.447,25276.32,338415.767,0.9253098630005616,0.07469013699943833
2012,305773.89400000003,34606.892,340380.786,0.8983288909850511,0.10167110901494891
2013,337495.406,33719.099,371214.505,0.9091654594693168,0.0908345405306832
2014,354447.505,27421.897,381869.402,0.9281903790762477,0.07180962092375236
2015,220260.971,15710.511999999999,235971.48299999998,0.9334219889612678,0.06657801103873216
2016,182713.327,12601.0,195314.327,0.9354834835029793,0.06451651649702073
2017,233893.337,15116.189,249009.526,0.9392947360576076,0.060705263942392305
2018,278928.245,18034.993,296963.238,0.9392686006474646,0.06073139935253534
2019,254598.791,18437.982,273036.773,0.932470700567502,0.06752929943249805
2020,177144.4,17890.714,195035.114,0.9082692668357145,0.09173073316428548
2021,306011.442,27724.421,333735.86299999995,0.9169270549746104,0.08307294502538974
2022,438732.931,44966.365000000005,483699.296,0.9070365299849434,0.09296347001505664
2023,326018.196,35430.448,361448.644,0.9019765363955827,0.09802346360441734
2024,291434.363,29632.926,321067.289,0.9077049359581444,0.09229506404185572
