stype,tic,gvkey,sic,snms,sales,fyear
BUSSEG,ACAD.,001087,1311,OIL & GAS,0.112,1981.0
BUSSEG,ACAD.,001087,1311,OIL & GAS,0.099,1982.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,17.616,1976.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,19.525,1976.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,18.613,1977.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,20.564,1977.0
BUSSEG,AOI.1,001135,1311,COAL MINING,0.476,1977.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,19.89,1978.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,21.566,1978.0
BUSSEG,AOI.1,001135,1311,COAL MINING,28.496,1978.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,28.811,1979.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,32.304,1979.0
BUSSEG,AOI.1,001135,1311,COAL MINING,31.281,1979.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,68.989,1980.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,49.032,1980.0
BUSSEG,AOI.1,001135,1311,COAL MINING,36.361,1980.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,100.907,1981.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,42.121,1981.0
BUSSEG,AOI.1,001135,1311,COAL MINING,41.454,1981.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,103.113,1982.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,37.558,1982.0
BUSSEG,AOI.1,001135,1311,COAL MINING,62.588,1982.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,84.417,1983.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,31.503,1983.0
BUSSEG,AOI.1,001135,1311,COAL MINING,49.621,1983.0
BUSSEG,AOI.1,001135,1311,OIL & GAS PRODUCTION,90.481,1984.0
BUSSEG,AOI.1,001135,1311,REFINING & GAS PROCESSING,15.915,1984.0
BUSSEG,AOI.1,001135,1311,COAL MINING,60.568,1984.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,14.051,1981.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,25.049,1982.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,28.9,1983.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,30.352,1984.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,22.996,1985.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,14.237,1986.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,10.184,1987.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,11.277,1988.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,12.712,1989.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,9.183,1990.0
BUSSEG,AXO.1,001226,1311,OIL & GAS ONSHORE,9.653,1991.0
